year,state_fips,state_abbreviation,median_medical_debt
2018,41,OR,785
2019,41,OR,698
2020,41,OR,676
2021,41,OR,695
2022,41,OR,623
2023,41,OR,1372
2011,42,PA,657
2012,42,PA,616
2013,42,PA,628
2014,42,PA,606
2015,42,PA,668
2016,42,PA,663
2017,42,PA,593
2018,42,PA,621
2019,42,PA,633
2020,42,PA,656
2021,42,PA,618
2022,42,PA,512
2023,42,PA,1268
2011,44,RI,400
2012,44,RI,445
2013,44,RI,394
2014,44,RI,418
2015,44,RI,445
2016,44,RI,617
2017,44,RI,469
2018,44,RI,568
2019,44,RI,644
2020,44,RI,652
2021,44,RI,586
2022,44,RI,588
2023,44,RI,1340
2011,45,SC,908
2012,45,SC,853
2013,45,SC,850
2014,45,SC,943
2015,45,SC,901
2016,45,SC,931
2017,45,SC,985
2018,45,SC,955
2019,45,SC,1168
2020,45,SC,1107
2021,45,SC,1102
2022,45,SC,832
2023,45,SC,1753
2011,46,SD,746
2012,46,SD,691
2013,46,SD,743
2014,46,SD,730
2015,46,SD,672
2016,46,SD,621
2017,46,SD,594
2018,46,SD,658
2019,46,SD,738
2020,46,SD,816
2021,46,SD,768
2022,46,SD,688
2023,46,SD,1615
2011,47,TN,908
2012,47,TN,860
2013,47,TN,872
2014,47,TN,895
2015,47,TN,900
2016,47,TN,938
2017,47,TN,937
2018,47,TN,1037
2019,47,TN,1130
2020,47,TN,1117
2021,47,TN,1091
2022,47,TN,951
2023,47,TN,1392
2011,48,TX,899
2012,48,TX,905
2013,48,TX,926
2014,48,TX,986
2015,48,TX,1016
2016,48,TX,1079
2017,48,TX,1032
2018,48,TX,1006
2019,48,TX,1158
2020,48,TX,1227
2021,48,TX,1113
2022,48,TX,878
2023,48,TX,1628
2011,49,UT,1130
2012,49,UT,1222
2013,49,UT,1199
2014,49,UT,1030
2015,49,UT,1120
2016,49,UT,1118
2017,49,UT,1080
2018,49,UT,1210
2019,49,UT,1238
2020,49,UT,1187
2021,49,UT,1137
2022,49,UT,572
2023,49,UT,1567
2011,50,VT,599
2012,50,VT,628
2013,50,VT,583
2014,50,VT,623
2015,50,VT,659
2016,50,VT,677
2017,50,VT,747
2018,50,VT,569
2019,50,VT,597
2020,50,VT,707
2021,50,VT,573
2022,50,VT,457
2023,50,VT,1054
2011,51,VA,719
2012,51,VA,710
2013,51,VA,760
2014,51,VA,749
2015,51,VA,762
2016,51,VA,739
2017,51,VA,791
2018,51,VA,825
2019,51,VA,878
2020,51,VA,889
2021,51,VA,847
2022,51,VA,742
2023,51,VA,1436
2011,53,WA,843
2012,53,WA,906
2013,53,WA,930
2014,53,WA,963
2015,53,WA,784
2016,53,WA,809
2017,53,WA,712
2018,53,WA,678
2019,53,WA,745
2020,53,WA,692
2021,53,WA,681
2022,53,WA,564
2023,53,WA,1353
2011,54,WV,1011
2012,54,WV,953
